drug_id	gene_id	variant_id	association	cancer_id	cancer_type	subtype	reference
CHEMBL939	COSG73399	COSV51765492	resistance	27	Generic	NA	PUBMED:16983123
CHEMBL939	COSG73399	COSV51772923	resistance	27	Generic	NA	PUBMED:17085664
CHEMBL302239	COSG109595	COSV58414509	resistance	27	Generic	NA	PUBMED:28157215
CHEMBL302239	COSG109595	COSV99056933	resistance	27	Generic	NA	PUBMED:28157215
CHEMBL941	COSG63709	COSV55402684	resistance	27	Generic	NA	PUBMED:16551858
CHEMBL941	COSG63709	COSV55389496	resistance	27	Generic	NA	PUBMED:18488000
CHEMBL941	COSG63709	COSV55387147	resistance	27	Generic	NA	PUBMED:18623623
CHEMBL941	COSG63709	COSV55389584	resistance	27	Generic	NA	PUBMED:18623623
CHEMBL473417	COSG112751	COSV50830986	resistance	27	Generic	NA	PUBMED:19726788
CHEMBL553	COSG73399	COSV51765492	resistance	27	Generic	NA	PUBMED:20146086
CHEMBL941	COSG106650	COSV59323790	resistance	27	Generic	NA	PUBMED:20512393
CHEMBL1229517	COSG59287	COSV61069878	resistance	27	Generic	NA	PUBMED:21383288
CHEMBL941	COSG106650	COSV59325261	resistance	27	Generic	NA	PUBMED:17008892
CHEMBL601719	COSG59677	COSV66566818	resistance	27	Generic	NA	PUBMED:22277784
CHEMBL601719	COSG59677	COSV66555808	resistance	27	Generic	NA	PUBMED:22277784
CHEMBL601719	COSG59677	COSV66556435	resistance	27	Generic	NA	PUBMED:22277784
CHEMBL601719	COSG59677	COSV66558491	resistance	27	Generic	NA	PUBMED:22277784
CHEMBL941	COSG106650	COSV59323734	resistance	27	Generic	NA	PUBMED:20367437
CHEMBL941	COSG106650	COSV59333676	resistance	27	Generic	NA	PUBMED:20367437
CHEMBL941	COSG106650	COSV59324360	resistance	27	Generic	NA	PUBMED:20367437
CHEMBL941	COSG106650	COSV59324372	resistance	27	Generic	NA	PUBMED:20367437
CHEMBL941	COSG106650	COSV59323765	resistance	27	Generic	NA	PUBMED:20367437
CHEMBL941	COSG106650	COSV59334206	resistance	27	Generic	NA	PUBMED:20367437
CHEMBL941	COSG106650	COSV59325471	resistance	27	Generic	NA	PUBMED:20367437
CHEMBL941	COSG106650	COSV59324758	resistance	27	Generic	NA	PUBMED:20367437
CHEMBL941	COSG106650	COSV59325175	resistance	27	Generic	NA	PUBMED:20367437
CHEMBL941	COSG106650	COSV59326265	resistance	27	Generic	NA	PUBMED:21264552
CHEMBL601719	COSG59677	COSV66556325	resistance	27	Generic	NA	PUBMED:21030459
CHEMBL601719	COSG59677	COSV66557991	resistance	27	Generic	NA	PUBMED:23344087
CHEMBL576982	COSG64752	COSV54042116	resistance	27	Generic	NA	PUBMED:22504184
CHEMBL576982	COSG64752	COSV54042199	resistance	27	Generic	NA	PUBMED:22504184
CHEMBL576982	COSG64752	COSV54045249	resistance	27	Generic	NA	PUBMED:22504184
CHEMBL576982	COSG64752	COSV54050694	resistance	27	Generic	NA	PUBMED:22504184
CHEMBL941	COSG106650	COSV59325906	resistance	27	Generic	NA	PUBMED:23355941
CHEMBL601719	COSG59677	COSV66562303	resistance	27	Generic	NA	PUBMED:23434628
CHEMBL3989958	COSG108257	COSV105912949	resistance	27	Generic	NA	PUBMED:33832922
CHEMBL1614701	COSG59287	COSV61068422	resistance	27	Generic	NA	PUBMED:19915144
CHEMBL1201827	COSG86962	COSV55497388	resistance	27	Generic	NA	PUBMED:22722830
CHEMBL1201577	COSG86962	COSV55497388	resistance	27	Generic	NA	PUBMED:22722830
CHEMBL1201577	COSG86962	COSV55499223	resistance	27	Generic	NA	PUBMED:22722830
CHEMBL1201577	COSG86962	COSV55497369	resistance	27	Generic	NA	PUBMED:22722830
CHEMBL2028663	COSG59865	COSV53562028	resistance	27	Generic	NA	PUBMED:24265154
CHEMBL3989908	COSG108257	COSV61615256	resistance	27	Generic	NA	PUBMED:30013198
CHEMBL3989908	COSG108257	COSV61615239	resistance	27	Generic	NA	PUBMED:30013198
CHEMBL941	COSG106650	COSV59336290	resistance	27	Generic	NA	PUBMED:23676790
CHEMBL941	COSG106650	COSV59325003	resistance	27	Generic	NA	PUBMED:23676790
CHEMBL941	COSG106650	COSV59325418	resistance	27	Generic	NA	PUBMED:23676790
CHEMBL941	COSG106650	COSV59338309	resistance	27	Generic	NA	PUBMED:23676790
CHEMBL941	COSG106650	COSV59335571	resistance	27	Generic	NA	PUBMED:23676790
CHEMBL941	COSG106650	COSV59336536	resistance	27	Generic	NA	PUBMED:23676790
CHEMBL941	COSG106650	COSV59325892	resistance	27	Generic	NA	PUBMED:23676790
CHEMBL941	COSG106650	COSV59326146	resistance	27	Generic	NA	PUBMED:23676790
CHEMBL941	COSG106650	COSV59323744	resistance	27	Generic	NA	PUBMED:23676790
CHEMBL941	COSG106650	COSV59337395	resistance	27	Generic	NA	PUBMED:23676790
CHEMBL941	COSG106650	COSV59327102	resistance	27	Generic	NA	PUBMED:23676790
CHEMBL601719	COSG59677	COSV66559314	resistance	27	Generic	NA	PUBMED:24736079
CHEMBL1173655	COSG73399	COSV51765492	resistance	27	Generic	NA	PUBMED:24813888
CHEMBL1173655	COSG66613	COSV58519797	resistance	27	Generic	NA	PUBMED:24813888
CHEMBL1173655	COSG66613	COSV58528760	resistance	27	Generic	NA	PUBMED:24813888
CHEMBL302239	COSG109595	COSV58414717	resistance	27	Generic	NA	PUBMED:23377183
CHEMBL302239	COSG109595	COSV58416626	resistance	27	Generic	NA	PUBMED:23377183
CHEMBL302239	COSG109595	COSV58418590	resistance	27	Generic	NA	PUBMED:23377183
CHEMBL473417	COSG112751	COSV50829974	resistance	27	Generic	NA	PUBMED:25306392
CHEMBL473417	COSG112751	COSV50837084	resistance	27	Generic	NA	PUBMED:25306392
CHEMBL1908360	COSG77957	COSV63877299	resistance	27	Generic	NA	PUBMED:25295501
CHEMBL1738797	COSG59677	COSV66556242	resistance	27	Generic	NA	PUBMED:25393796
CHEMBL1738797	COSG59677	COSV66567934	resistance	27	Generic	NA	PUBMED:25393796
CHEMBL601719	COSG59677	COSV66564577	resistance	27	Generic	NA	PUBMED:25393798
CHEMBL302239	COSG109595	COSV99056937	resistance	27	Generic	NA	PUBMED:28157215
CHEMBL941	COSG106650	COSV59324514	resistance	27	Generic	NA	PUBMED:23044928
CHEMBL288441	COSG106650	COSV59324500	resistance	27	Generic	NA	PUBMED:23044928
CHEMBL288441	COSG106650	COSV59324514	resistance	27	Generic	NA	PUBMED:23044928
CHEMBL255863	COSG106650	COSV59329005	resistance	27	Generic	NA	PUBMED:23044928
CHEMBL1421	COSG106650	COSV59331301	resistance	27	Generic	NA	PUBMED:23044928
CHEMBL2403108	COSG59677	COSV66561781	resistance	27	Generic	NA	PUBMED:26134233
CHEMBL941	COSG63709	COSV55387507	resistance	27	Generic	NA	PUBMED:20043176
CHEMBL941	COSG63709	COSV55394297	resistance	27	Generic	NA	PUBMED:25886408
CHEMBL941	COSG63709	COSV55410040	resistance	27	Generic	NA	PUBMED:25886408
CHEMBL941	COSG63709	COSV55387376	resistance	27	Generic	NA	PUBMED:25886408
CHEMBL941	COSG63709	COSV55396509	resistance	27	Generic	NA	PUBMED:25886408
CHEMBL941	COSG106650	COSV59324877	resistance	27	Generic	NA	PUBMED:22299775
CHEMBL2028663	COSG59287	COSV61068654	resistance	27	Generic	NA	PUBMED:24463458
CHEMBL2028663	COSG95814	COSV54736310	resistance	27	Generic	NA	PUBMED:24463458
CHEMBL2028663	COSG59287	COSV61070134	resistance	27	Generic	NA	PUBMED:24463458
CHEMBL1229517	COSG59865	COSV53562150	resistance	27	Generic	NA	PUBMED:24463458
CHEMBL2028663	COSG59287	COSV61068347	resistance	27	Generic	NA	PUBMED:25452114
CHEMBL2028663	COSG59865	COSV53563396	resistance	27	Generic	NA	PUBMED:25452114
CHEMBL2028663	COSG59865	COSV53562848	resistance	27	Generic	NA	PUBMED:25452114
CHEMBL2028663	COSG95814	COSV54736383	resistance	27	Generic	NA	PUBMED:25452114
CHEMBL1229517	COSG99109	COSV56178243	resistance	27	Generic	NA	PUBMED:25515853
CHEMBL1229517	COSG95525	COSV55873239	resistance	27	Generic	NA	PUBMED:25515853
CHEMBL2028663	COSG95814	COSV54736340	resistance	27	Generic	NA	PUBMED:26715644
CHEMBL473417	COSG112751	COSV50827572	resistance	27	Generic	NA	PUBMED:25199678
CHEMBL473417	COSG112751	COSV50828671	resistance	27	Generic	NA	PUBMED:25199678
CHEMBL941	COSG99109	COSV56056643	resistance	27	Generic	NA	PUBMED:25182956
CHEMBL473417	COSG112751	COSV50825992	resistance	27	Generic	NA	PUBMED:25759019
CHEMBL473417	COSG112751	COSV50827270	resistance	27	Generic	NA	PUBMED:25759019
CHEMBL473417	COSG112751	COSV50825320	resistance	27	Generic	NA	PUBMED:25759019
CHEMBL1738797	COSG59677	COSV66555808	resistance	27	Generic	NA	PUBMED:27130468
CHEMBL601719	COSG63709	COSV55408930	resistance	27	Generic	NA	PUBMED:27068398
CHEMBL1336	COSG64752	COSV54042116	resistance	27	Generic	NA	PUBMED:22368270
CHEMBL1336	COSG64752	COSV54042636	resistance	27	Generic	NA	PUBMED:22368270
CHEMBL1336	COSG64752	COSV54050694	resistance	27	Generic	NA	PUBMED:23969938
CHEMBL535	COSG64752	COSV54042116	resistance	27	Generic	NA	PUBMED:23969938
CHEMBL1082407	COSG86691	COSV65953150	resistance	27	Generic	NA	PUBMED:25712683
CHEMBL1082407	COSG86691	COSV65955698	resistance	27	Generic	NA	PUBMED:25712683
CHEMBL254328	COSG86691	COSV65953150	resistance	27	Generic	NA	PUBMED:26537258
CHEMBL254328	COSG86691	COSV65953158	resistance	27	Generic	NA	PUBMED:26537258
CHEMBL806	COSG86691	COSV65953150	resistance	27	Generic	NA	PUBMED:14618630
CHEMBL806	COSG86691	COSV65961491	resistance	27	Generic	NA	PUBMED:14618630
CHEMBL806	COSG86691	COSV65953158	resistance	27	Generic	NA	PUBMED:7723794
CHEMBL1201577	COSG59287	COSV61068437	resistance	27	Generic	NA	PUBMED:26644315
CHEMBL1201577	COSG86962	COSV55498802	resistance	27	Generic	NA	PUBMED:26644315
CHEMBL157101	COSG86691	COSV65953150	resistance	27	Generic	NA	PUBMED:25320358
CHEMBL806	COSG86691	COSV65953243	resistance	27	Generic	NA	PUBMED:19366804
CHEMBL601719	COSG91620	COSV59256021	resistance	27	Generic	NA	PUBMED:27343442
CHEMBL601719	COSG91620	COSV59257466	resistance	27	Generic	NA	PUBMED:27666659
CHEMBL3334567	COSG91620	COSV59260821	resistance	27	Generic	NA	PUBMED:27694386
CHEMBL1201577	COSG86962	COSV55497479	resistance	27	Generic	NA	PUBMED:24553387
CHEMBL1201577	COSG95814	COSV54736550	resistance	27	Generic	NA	PUBMED:24553387
CHEMBL1873475	COSG96537	COSV58117136	resistance	27	Generic	NA	PUBMED:28235842
CHEMBL1873475	COSG96537	COSV58117643	resistance	27	Generic	NA	PUBMED:28235842
CHEMBL1873475	COSG96537	COSV58117871	resistance	27	Generic	NA	PUBMED:28235842
CHEMBL1873475	COSG96537	COSV58122597	resistance	27	Generic	NA	PUBMED:28235842
CHEMBL1873475	COSG96537	COSV58122516	resistance	27	Generic	NA	PUBMED:24869598
CHEMBL1873475	COSG96537	COSV58118015	resistance	27	Generic	NA	PUBMED:27626698
CHEMBL2403108	COSG59677	COSV66565234	resistance	27	Generic	NA	PUBMED:28434515
CHEMBL1873475	COSG96537	COSV58119120	resistance	27	Generic	NA	PUBMED:25082755
CHEMBL3353410	COSG73399	COSV51766493	resistance	27	Generic	NA	PUBMED:28625641
CHEMBL3353410	COSG73399	COSV51766509	resistance	27	Generic	NA	PUBMED:28625641
CHEMBL3353410	COSG73399	COSV51770694	resistance	27	Generic	NA	PUBMED:28625641
CHEMBL3353410	COSG73399	COSV51832101	resistance	27	Generic	NA	PUBMED:28625641
CHEMBL3353410	COSG73399	COSV51832111	resistance	27	Generic	NA	PUBMED:28625641
CHEMBL3353410	COSG73399	COSV51832120	resistance	27	Generic	NA	PUBMED:28625641
CHEMBL3353410	COSG73399	COSV51832145	resistance	27	Generic	NA	PUBMED:28625641
CHEMBL3353410	COSG73399	COSV51834362	resistance	27	Generic	NA	PUBMED:27257132
CHEMBL601719	COSG91620	COSV59256836	resistance	27	Generic	NA	PUBMED:28396313
CHEMBL3188267	COSG91620	COSV59256021	resistance	27	Generic	NA	PUBMED:28396313
CHEMBL3188267	COSG91620	COSV59256836	resistance	27	Generic	NA	PUBMED:28396313
CHEMBL941	COSG100985	COSV62687839	resistance	27	Generic	NA	PUBMED:28421416
CHEMBL3353410	COSG73399	COSV51782925	resistance	27	Generic	NA	PUBMED:29673089
CHEMBL601719	COSG59677	COSV66582675	resistance	27	Generic	NA	PUBMED:30089600
CHEMBL1201827	COSG86962	COSV55497369	resistance	27	Generic	NA	PUBMED:25137394
CHEMBL4514636	COSG98910	COSV52800715	resistance	27	Generic	NA	PUBMED:31575540
CHEMBL4514636	COSG98910	COSV52802492	resistance	27	Generic	NA	PUBMED:31575540
CHEMBL4514636	COSG98910	COSV52804538	resistance	27	Generic	NA	PUBMED:31575540
CHEMBL4514636	COSG98910	COSV104624868	resistance	27	Generic	NA	PUBMED:31575540
CHEMBL535	COSG104741	COSV104432001	resistance	27	Generic	NA	PUBMED:30848481
CHEMBL535	COSG109769	COSV54407618	resistance	27	Generic	NA	PUBMED:30848481
CHEMBL3286830	COSG59677	COSV66555808	resistance	27	Generic	NA	PUBMED:31749991
CHEMBL3286830	COSG59677	COSV66557991	resistance	27	Generic	NA	PUBMED:31749991
CHEMBL3286830	COSG59677	COSV66567934	resistance	27	Generic	NA	PUBMED:31943796
CHEMBL3707348	COSG96537	COSV58117136	resistance	27	Generic	NA	PUBMED:30508305
CHEMBL3707348	COSG96537	COSV58122516	resistance	27	Generic	NA	PUBMED:30508305
CHEMBL1201827	COSG86962	COSV55497582	resistance	27	Generic	NA	PUBMED:22722843
CHEMBL1201827	COSG86962	COSV55497469	resistance	27	Generic	NA	PUBMED:22722843
CHEMBL1201827	COSG86962	COSV55497479	resistance	27	Generic	NA	PUBMED:22722843
CHEMBL1201827	COSG86962	COSV55497419	resistance	27	Generic	NA	PUBMED:22722843
CHEMBL1201827	COSG86962	COSV55497461	resistance	27	Generic	NA	PUBMED:22722843
CHEMBL1201577	COSG86962	COSV55497582	resistance	27	Generic	NA	PUBMED:24553385
CHEMBL1201577	COSG95814	COSV54736340	resistance	27	Generic	NA	PUBMED:24553385
CHEMBL1201827	COSG86962	COSV55502677	resistance	27	Generic	NA	PUBMED:24553385
CHEMBL1201827	COSG86962	COSV104554397	resistance	27	Generic	NA	PUBMED:24553385
CHEMBL1201577	COSG86962	COSV55497469	resistance	27	Generic	NA	PUBMED:24553385
CHEMBL1201577	COSG99109	COSV56056643	resistance	27	Generic	NA	PUBMED:24553385
